# time	pulse
5.366064739999999444e-01	-3.912177685999999994e+02
5.405233099999999791e-01	-3.400972328000000289e+02
5.444401460000000137e-01	-2.896815518999999881e+02
5.483569809999999656e-01	-2.405392340999999874e+02
5.522738170000000002e-01	-1.931813085999999942e+02
5.561906520000000631e-01	-1.480565904000000046e+02
5.601074879999999867e-01	-1.055484300000000104e+02
5.640243229999999386e-01	-6.597291846000000248e+01
5.679411589999999732e-01	-2.957849000000000217e+01
5.718579950000000078e-01	3.453167436999999840e+00
5.757748299999999597e-01	3.300500463000000195e+01
5.796916659999999943e-01	5.902143834999999683e+01
5.836085010000000572e-01	8.150426000000000215e+01
5.875253369999999808e-01	1.005077823999999964e+02
5.914421730000000155e-01	1.161333867999999967e+02
5.953590079999999674e-01	1.285236340000000155e+02
5.992758440000000020e-01	1.378560990999999945e+02
6.031926789999999539e-01	1.443370843000000150e+02
6.071095149999999885e-01	1.481953522999999961e+02
6.110263500000000514e-01	1.496760105999999837e+02
6.149431859999999750e-01	1.490346633000000054e+02
6.188600220000000096e-01	1.465319283999999982e+02
6.227768570000000725e-01	1.424284011999999962e+02
6.266936929999999961e-01	1.369801286999999661e+02
6.306105279999999480e-01	1.304346395000000030e+02
6.345273639999999826e-01	1.230275567000000052e+02
6.384441999999999062e-01	1.149798064000000011e+02
6.423610349999999691e-01	1.064954186999999877e+02
6.462778710000000038e-01	9.775990260999999748e+01
6.501947060000000667e-01	8.893916939000000355e+01
6.541115419999999903e-01	8.017896358000000134e+01
6.580283770000000532e-01	7.160475789999999563e+01
6.619452129999999768e-01	6.332205969000000323e+01
6.658620490000000114e-01	5.541707421000000267e+01
6.697788839999999633e-01	4.795766746999999697e+01
6.736957199999999979e-01	4.099457134000000025e+01
6.776125549999999498e-01	3.456277470000000562e+01
6.815293909999999844e-01	2.868304713999999933e+01
6.854462259999999363e-01	2.336354475999999991e+01
6.893630620000000819e-01	1.860145260999999905e+01
6.932798980000000055e-01	1.438462286999999939e+01
6.971967329999999574e-01	1.069317337000000023e+01
7.011135690000001031e-01	7.501016803999999816e+00
7.050304040000000549e-01	4.777296490000000340e+00
7.089472399999999785e-01	2.487709994999999896e+00
7.128640759999999021e-01	5.957073489999999971e-01
7.167809109999999650e-01	-9.364446940000000774e-01
7.206977469999999997e-01	-2.146736429000000168e+00
7.246145820000000626e-01	-3.072627180000000013e+00
7.285314179999999862e-01	-3.750392313999999949e+00
7.324482529999999381e-01	-4.214599340000000360e+00
7.363650890000000837e-01	-4.497704888000000345e+00
7.402819250000000073e-01	-4.629762718999999471e+00
7.441987599999999592e-01	-4.638231696000000071e+00
7.481155959999999938e-01	-4.547871971000000180e+00
7.520324309999999457e-01	-4.380717323999999913e+00
